act1,act2,experiment,n_seeds,acc_mean,acc_std,acc_ci95,acc_min,acc_max,f1_mean,f1_std,prec_mean,rec_mean,single,delta,cell,rank_old,rank_new
Tanh,LeakyReLU,BiLSTM+LSTM,5,86.66,0.624,0.774,85.87,87.44,86.728,0.617,86.284,87.184,87.1,-0.4399999999999977,Tanh+LeakyReLU,23.0,51.0
Tanh,Tanh,BiLSTM+LSTM,5,86.648,0.979,1.216,85.36,87.65,86.56,1.203,87.07,86.104,87.46,-0.8119999999999976,Tanh+Tanh,5.5,52.0
Mish,Tanh,BiLSTM+LSTM,5,86.646,0.691,0.859,85.53,87.41,86.78,0.633,85.984,87.64,86.93,-0.284000000000006,Mish+Tanh,35.0,53.0
SELU,GELU,BiLSTM+LSTM,5,86.644,0.647,0.804,85.64,87.35,86.622,0.696,86.762,86.5,86.08,0.5640000000000072,SELU+GELU,89.0,54.0
Mish,Mish,BiLSTM+LSTM,5,86.642,0.357,0.443,86.17,87.12,86.682,0.76,86.494,87.116,87.16,-0.5180000000000007,Mish+Mish,19.0,55.0
Mish,Hardswish,BiLSTM+LSTM,5,86.638,0.758,0.941,85.65,87.61,86.66,0.902,86.504,86.876,86.91,-0.27199999999999136,Mish+Hardswish,37.0,56.5
Hardswish,SELU,BiLSTM+LSTM,5,86.638,0.408,0.507,86.17,87.2,86.528,0.588,87.266,85.856,87.29,-0.652000000000001,Hardswish+SELU,11.0,56.5
GELU,SELU,BiLSTM+LSTM,5,86.628,0.632,0.784,86.04,87.57,86.654,0.629,86.532,86.856,86.61,0.018000000000000682,GELU+SELU,63.0,58.0
SELU,Hardswish,BiLSTM+LSTM,5,86.626,0.176,0.218,86.35,86.76,86.606,0.22,86.772,86.524,86.9,-0.2740000000000009,SELU+Hardswish,38.5,59.0
PReLU,Tanh,BiLSTM+LSTM,5,86.62,0.424,0.526,86.0,87.01,86.512,0.61,87.242,85.88,87.2,-0.5799999999999983,PReLU+Tanh,15.0,60.0
LeakyReLU,Hardswish,BiLSTM+LSTM,5,86.612,0.517,0.642,86.13,87.27,86.694,0.558,86.198,87.244,87.48,-0.8680000000000092,LeakyReLU+Hardswish,4.0,62.0
ELU,SiLU,BiLSTM+LSTM,5,86.612,0.73,0.907,85.43,87.18,86.718,0.88,86.034,87.464,86.82,-0.2079999999999984,ELU+SiLU,45.0,62.0
GELU,PReLU,BiLSTM+LSTM,5,86.612,0.51,0.633,85.9,87.15,86.306,0.576,88.326,84.4,87.12,-0.5080000000000098,GELU+PReLU,22.0,62.0
ReLU,SELU,BiLSTM+LSTM,5,86.61,0.788,0.978,85.72,87.28,86.528,1.028,87.018,86.116,87.25,-0.6400000000000006,ReLU+SELU,12.0,64.0
GELU,LeakyReLU,BiLSTM+LSTM,5,86.608,0.528,0.656,86.02,87.44,86.346,0.695,88.068,84.756,85.92,0.6880000000000024,GELU+LeakyReLU,94.0,65.0
ReLU,Mish,BiLSTM+LSTM,5,86.602,0.458,0.569,86.08,87.09,86.666,0.66,86.258,87.156,86.68,-0.07800000000000296,ReLU+Mish,57.5,66.0
SELU,SiLU,BiLSTM+LSTM,5,86.594,0.561,0.697,85.95,87.17,86.45,0.622,87.38,85.556,86.79,-0.19600000000001216,SELU+SiLU,49.0,67.0
Tanh,GELU,BiLSTM+LSTM,5,86.588,0.635,0.788,85.48,87.03,86.556,0.429,86.868,86.312,87.23,-0.6420000000000101,Tanh+GELU,13.0,68.0
Tanh,ELU,BiLSTM+LSTM,5,86.584,0.583,0.724,85.82,87.23,86.678,0.617,86.08,87.292,86.95,-0.36599999999999966,Tanh+ELU,33.5,69.0
Hardswish,ReLU,BiLSTM+LSTM,5,86.576,0.645,0.801,85.68,87.35,86.52,0.977,86.838,86.304,84.84,1.73599999999999,Hardswish+ReLU,100.0,70.0
LeakyReLU,SELU,BiLSTM+LSTM,5,86.568,1.106,1.374,84.97,87.97,86.692,0.958,85.996,87.44,86.26,0.3079999999999927,LeakyReLU+SELU,84.0,71.0
SELU,Tanh,BiLSTM+LSTM,5,86.558,0.415,0.515,85.91,87.06,86.404,0.49,87.49,85.476,86.52,0.038000000000010914,SELU+Tanh,71.5,72.0
SiLU,ELU,BiLSTM+LSTM,5,86.546,0.684,0.849,85.37,86.99,86.454,1.049,87.028,86.008,86.74,-0.1939999999999884,SiLU+ELU,53.0,73.0
Mish,SiLU,BiLSTM+LSTM,5,86.54,0.822,1.021,85.53,87.46,86.352,0.796,87.578,85.18,86.58,-0.03999999999999204,Mish+SiLU,65.5,74.0
Hardswish,GELU,BiLSTM+LSTM,5,86.526,0.348,0.432,86.13,87.09,86.852,0.345,84.84,89.028,86.09,0.43599999999999284,Hardswish+GELU,88.0,75.0
PReLU,Mish,BiLSTM+LSTM,5,86.514,0.808,1.003,85.48,87.36,86.674,0.909,85.688,87.8,86.95,-0.43600000000000705,PReLU+Mish,33.5,76.0
SELU,LeakyReLU,BiLSTM+LSTM,5,86.504,0.541,0.671,85.92,87.18,86.25,0.799,87.862,84.764,86.71,-0.20599999999998886,SELU+LeakyReLU,55.0,77.0
Hardswish,Hardswish,BiLSTM+LSTM,5,86.502,0.557,0.692,85.64,87.09,86.24,0.726,87.948,84.652,86.58,-0.07800000000000296,Hardswish+Hardswish,65.5,78.0
Tanh,Hardswish,BiLSTM+LSTM,5,86.498,0.345,0.428,86.05,86.98,86.344,0.357,87.424,85.396,86.99,-0.4919999999999902,Tanh+Hardswish,28.5,79.0
ELU,PReLU,BiLSTM+LSTM,5,86.486,0.334,0.414,85.91,86.77,86.496,0.281,86.456,86.56,86.24,0.24600000000000932,ELU+PReLU,86.0,80.0
GELU,ReLU,BiLSTM+LSTM,5,86.472,0.72,0.894,85.44,87.15,86.55,0.607,86.176,87.04,86.99,-0.5180000000000007,GELU+ReLU,28.5,81.5
ELU,LeakyReLU,BiLSTM+LSTM,5,86.472,0.39,0.484,85.99,86.96,86.362,0.731,87.082,85.76,86.25,0.2219999999999942,ELU+LeakyReLU,85.0,81.5
SELU,ELU,BiLSTM+LSTM,5,86.46,1.22,1.514,84.37,87.57,86.208,1.513,87.77,84.792,85.86,0.5999999999999943,SELU+ELU,95.0,83.0
LeakyReLU,Tanh,BiLSTM+LSTM,5,86.434,0.73,0.907,85.71,87.57,86.458,0.75,86.348,86.632,85.98,0.4539999999999935,LeakyReLU+Tanh,92.0,84.0
SELU,PReLU,BiLSTM+LSTM,5,86.39,0.522,0.648,85.47,86.77,86.19,0.837,87.438,85.052,86.72,-0.3299999999999983,SELU+PReLU,54.0,85.5
Hardswish,PReLU,BiLSTM+LSTM,5,86.39,0.843,1.047,85.05,87.36,86.238,0.957,87.226,85.348,86.89,-0.5,Hardswish+PReLU,40.0,85.5
PReLU,ELU,BiLSTM+LSTM,5,86.378,1.007,1.25,85.26,87.71,86.352,1.166,86.466,86.268,86.5,-0.12199999999999989,PReLU+ELU,73.0,87.0
GELU,Mish,BiLSTM+LSTM,5,86.372,0.292,0.362,86.21,86.89,86.284,0.359,86.852,85.768,86.77,-0.39799999999999613,GELU+Mish,51.0,88.0
Mish,ReLU,BiLSTM+LSTM,5,86.3,0.529,0.657,85.52,86.8,86.294,0.396,86.522,86.276,87.08,-0.7800000000000011,Mish+ReLU,24.5,89.0
Tanh,SELU,BiLSTM+LSTM,5,86.298,1.026,1.274,84.61,87.15,86.084,1.459,87.326,84.992,87.13,-0.8319999999999936,Tanh+SELU,21.0,90.0
Tanh,ReLU,BiLSTM+LSTM,5,86.278,0.633,0.786,85.23,86.95,86.246,0.801,86.46,86.14,87.46,-1.181999999999988,Tanh+ReLU,5.5,91.0
SELU,SELU,BiLSTM+LSTM,5,86.254,0.477,0.592,85.59,86.83,86.192,0.63,86.586,85.84,87.3,-1.0459999999999923,SELU+SELU,10.0,92.0
PReLU,GELU,BiLSTM+LSTM,5,86.252,0.852,1.058,85.34,87.03,86.282,0.701,86.174,86.444,87.22,-0.9680000000000035,PReLU+GELU,14.0,93.0
SiLU,PReLU,BiLSTM+LSTM,5,86.25,0.691,0.858,85.37,86.94,85.906,1.08,88.066,83.972,85.95,0.29999999999999716,SiLU+PReLU,93.0,94.0
Mish,ELU,BiLSTM+LSTM,5,86.192,0.541,0.672,85.42,86.6,86.1,0.642,86.684,85.576,86.96,-0.7680000000000007,Mish+ELU,32.0,95.0
Hardswish,Tanh,BiLSTM+LSTM,5,86.164,0.17,0.211,86.02,86.41,86.296,0.363,85.512,87.164,87.01,-0.8460000000000036,Hardswish+Tanh,27.0,96.0
SELU,ReLU,BiLSTM+LSTM,5,86.156,1.021,1.268,84.94,87.55,85.966,1.117,87.14,84.844,87.16,-1.0039999999999907,SELU+ReLU,19.0,97.0
Mish,PReLU,BiLSTM+LSTM,5,86.138,0.966,1.2,85.13,87.63,86.296,0.856,85.41,87.272,87.66,-1.5219999999999914,Mish+PReLU,1.0,98.0
Mish,SELU,BiLSTM+LSTM,5,85.938,1.724,2.14,83.09,87.33,85.636,2.107,87.35,84.12,86.98,-1.0420000000000016,Mish+SELU,30.0,99.0
Hardswish,LeakyReLU,BiLSTM+LSTM,5,82.056,9.274,11.515,65.5,86.85,80.628,12.295,83.914,78.324,86.92,-4.864000000000004,Hardswish+LeakyReLU,36.0,100.0
