Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiLSTM+LSTM
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiLSTM+LSTM_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
[seed 10]   7/72       Tanh+GELU      acc= 86.93  ETA  76.1m
[seed 20]   7/100       ReLU+Mish      acc= 86.90  ETA 109.0m
[seed 40]   7/100       ReLU+Mish      acc= 87.09  ETA 110.3m
[seed 50]   8/100       ReLU+SELU      acc= 87.15  ETA 102.5m
[seed 30]   8/100       ReLU+SELU      acc= 87.28  ETA 105.3m
[seed 20]   8/100       ReLU+SELU      acc= 87.12  ETA 105.4m
[seed 10]   8/72       Tanh+SiLU      acc= 86.74  ETA  75.2m
[seed 40]   8/100       ReLU+SELU      acc= 85.78  ETA 109.3m
[seed 50]   9/100       ReLU+PReLU     acc= 86.23  ETA 102.2m
[seed 20]   9/100       ReLU+PReLU     acc= 86.44  ETA 102.4m
[seed 30]   9/100       ReLU+PReLU     acc= 86.87  ETA 104.7m
[seed 10]   9/72       Tanh+Mish      acc= 87.05  ETA  74.2m
[seed 40]   9/100       ReLU+PReLU     acc= 87.00  ETA 108.2m
[seed 50]  10/100       ReLU+Hardswish acc= 86.90  ETA 100.7m
[seed 20]  10/100       ReLU+Hardswish acc= 86.89  ETA 102.0m
[seed 30]  10/100       ReLU+Hardswish acc= 87.13  ETA 103.0m
[seed 10]  10/72       Tanh+SELU      acc= 84.61  ETA  73.2m
[seed 40]  10/100       ReLU+Hardswish acc= 86.41  ETA 107.1m
[seed 50]  11/100        ELU+ReLU      acc= 87.55  ETA  99.3m
[seed 20]  11/100        ELU+ReLU      acc= 86.90  ETA  99.5m
[seed 30]  11/100        ELU+ReLU      acc= 87.22  ETA 101.3m
[seed 10]  11/72       Tanh+PReLU     acc= 86.71  ETA  72.1m
[seed 40]  11/100        ELU+ReLU      acc= 87.18  ETA 106.0m
[seed 50]  12/100        ELU+ELU       acc= 86.09  ETA  98.8m
[seed 20]  12/100        ELU+ELU       acc= 87.15  ETA  98.9m
[seed 30]  12/100        ELU+ELU       acc= 86.77  ETA 100.6m
[seed 40]  12/100        ELU+ELU       acc= 87.36  ETA 102.3m
[seed 10]  12/72       Tanh+Hardswish acc= 86.98  ETA  71.0m
[seed 50]  13/100        ELU+LeakyReLU acc= 86.19  ETA  98.2m
[seed 30]  13/100        ELU+LeakyReLU acc= 86.71  ETA  98.2m
[seed 20]  13/100        ELU+LeakyReLU acc= 86.51  ETA  98.3m
[seed 40]  13/100        ELU+LeakyReLU acc= 86.96  ETA 101.4m
[seed 10]  13/72       GELU+ReLU      acc= 86.06  ETA  69.9m
[seed 50]  14/100        ELU+Tanh      acc= 86.73  ETA  97.5m
[seed 30]  14/100        ELU+Tanh      acc= 86.55  ETA  97.5m
[seed 20]  14/100        ELU+Tanh      acc= 86.88  ETA  97.6m
[seed 40]  14/100        ELU+Tanh      acc= 87.72  ETA 100.4m
[seed 10]  14/72       GELU+ELU       acc= 86.96  ETA  68.3m
[seed 50]  15/100        ELU+GELU      acc= 86.94  ETA  96.0m
[seed 30]  15/100        ELU+GELU      acc= 87.00  ETA  96.1m
[seed 20]  15/100        ELU+GELU      acc= 86.27  ETA  96.9m
[seed 40]  15/100        ELU+GELU      acc= 85.90  ETA  99.4m
[seed 10]  15/72       GELU+LeakyReLU acc= 86.34  ETA  66.8m
[seed 50]  16/100        ELU+SiLU      acc= 86.38  ETA  94.6m
[seed 20]  16/100        ELU+SiLU      acc= 87.18  ETA  94.8m
[seed 30]  16/100        ELU+SiLU      acc= 87.07  ETA  95.3m
[seed 10]  16/72       GELU+Tanh      acc= 87.20  ETA  65.3m
[seed 40]  16/100        ELU+SiLU      acc= 85.43  ETA  98.4m
[seed 50]  17/100        ELU+Mish      acc= 86.80  ETA  93.9m
[seed 30]  17/100        ELU+Mish      acc= 87.29  ETA  93.9m
[seed 20]  17/100        ELU+Mish      acc= 87.07  ETA  94.1m
[seed 40]  17/100        ELU+Mish      acc= 86.69  ETA  95.6m
[seed 10]  17/72       GELU+GELU      acc= 87.41  ETA  63.5m
[seed 30]  18/100        ELU+SELU      acc= 86.97  ETA  92.0m
[seed 50]  18/100        ELU+SELU      acc= 85.73  ETA  92.5m
[seed 20]  18/100        ELU+SELU      acc= 86.77  ETA  92.7m
[seed 40]  18/100        ELU+SELU      acc= 86.86  ETA  94.7m
[seed 10]  18/72       GELU+SiLU      acc= 87.03  ETA  62.5m
[seed 20]  19/100        ELU+PReLU     acc= 86.55  ETA  90.3m
[seed 30]  19/100        ELU+PReLU     acc= 86.64  ETA  90.7m
[seed 50]  19/100        ELU+PReLU     acc= 86.77  ETA  91.7m
[seed 10]  19/72       GELU+Mish      acc= 86.30  ETA  61.1m
[seed 40]  19/100        ELU+PReLU     acc= 86.56  ETA  93.8m
[seed 20]  20/100        ELU+Hardswish acc= 87.02  ETA  88.1m
[seed 30]  20/100        ELU+Hardswish acc= 86.41  ETA  89.9m
[seed 50]  20/100        ELU+Hardswish acc= 86.58  ETA  90.8m
[seed 10]  20/72       GELU+SELU      acc= 86.83  ETA  59.2m
[seed 40]  20/100        ELU+Hardswish acc= 87.81  ETA  92.3m
[seed 20]  21/100  LeakyReLU+ReLU      acc= 86.60  ETA  87.4m
[seed 30]  21/100  LeakyReLU+ReLU      acc= 86.43  ETA  89.1m
[seed 50]  21/100  LeakyReLU+ReLU      acc= 87.88  ETA  89.5m
[seed 10]  21/72       GELU+PReLU     acc= 86.28  ETA  57.9m
[seed 40]  21/100  LeakyReLU+ReLU      acc= 87.55  ETA  91.3m
[seed 20]  22/100  LeakyReLU+ELU       acc= 86.69  ETA  86.6m
[seed 50]  22/100  LeakyReLU+ELU       acc= 87.05  ETA  88.2m
[seed 30]  22/100  LeakyReLU+ELU       acc= 86.53  ETA  88.2m
[seed 10]  22/72       GELU+Hardswish acc= 86.88  ETA  56.9m
[seed 40]  22/100  LeakyReLU+ELU       acc= 86.86  ETA  90.3m
[seed 20]  23/100  LeakyReLU+LeakyReLU acc= 87.57  ETA  85.8m
[seed 50]  23/100  LeakyReLU+LeakyReLU acc= 86.78  ETA  87.3m
[seed 30]  23/100  LeakyReLU+LeakyReLU acc= 86.51  ETA  87.3m
[seed 10]  23/72       SiLU+ReLU      acc= 86.90  ETA  55.6m
[seed 40]  23/100  LeakyReLU+LeakyReLU acc= 86.23  ETA  89.3m
[seed 20]  24/100  LeakyReLU+Tanh      acc= 87.57  ETA  85.0m
[seed 30]  24/100  LeakyReLU+Tanh      acc= 86.52  ETA  86.0m
[seed 50]  24/100  LeakyReLU+Tanh      acc= 85.71  ETA  86.3m
[seed 10]  24/72       SiLU+ELU       acc= 86.99  ETA  54.6m
[seed 40]  24/100  LeakyReLU+Tanh      acc= 85.88  ETA  88.2m
[seed 20]  25/100  LeakyReLU+GELU      acc= 87.19  ETA  84.1m
[seed 30]  25/100  LeakyReLU+GELU      acc= 86.26  ETA  84.7m
[seed 50]  25/100  LeakyReLU+GELU      acc= 87.34  ETA  85.0m
[seed 10]  25/72       SiLU+LeakyReLU acc= 87.16  ETA  53.6m
[seed 40]  25/100  LeakyReLU+GELU      acc= 87.36  ETA  87.2m
[seed 20]  26/100  LeakyReLU+SiLU      acc= 87.54  ETA  83.2m
[seed 30]  26/100  LeakyReLU+SiLU      acc= 86.42  ETA  83.8m
[seed 50]  26/100  LeakyReLU+SiLU      acc= 86.62  ETA  84.1m
[seed 10]  26/72       SiLU+Tanh      acc= 86.94  ETA  52.6m
[seed 40]  26/100  LeakyReLU+SiLU      acc= 86.17  ETA  85.5m
[seed 20]  27/100  LeakyReLU+Mish      acc= 86.75  ETA  82.3m
[seed 30]  27/100  LeakyReLU+Mish      acc= 86.91  ETA  82.8m
[seed 50]  27/100  LeakyReLU+Mish      acc= 87.06  ETA  83.1m
[seed 10]  27/72       SiLU+GELU      acc= 86.71  ETA  51.3m
[seed 40]  27/100  LeakyReLU+Mish      acc= 87.74  ETA  84.4m
[seed 20]  28/100  LeakyReLU+SELU      acc= 87.97  ETA  81.4m
[seed 30]  28/100  LeakyReLU+SELU      acc= 84.97  ETA  81.9m
[seed 50]  28/100  LeakyReLU+SELU      acc= 86.14  ETA  82.2m
[seed 10]  28/72       SiLU+SiLU      acc= 86.96  ETA  50.3m
[seed 40]  28/100  LeakyReLU+SELU      acc= 86.89  ETA  83.4m
[seed 20]  29/100  LeakyReLU+PReLU     acc= 86.48  ETA  79.8m
[seed 50]  29/100  LeakyReLU+PReLU     acc= 87.35  ETA  80.9m
[seed 30]  29/100  LeakyReLU+PReLU     acc= 86.85  ETA  80.9m
[seed 10]  29/72       SiLU+Mish      acc= 86.41  ETA  49.0m
[seed 40]  29/100  LeakyReLU+PReLU     acc= 86.62  ETA  82.3m
[seed 20]  30/100  LeakyReLU+Hardswish acc= 87.27  ETA  78.9m
[seed 50]  30/100  LeakyReLU+Hardswish acc= 86.24  ETA  79.6m
[seed 30]  30/100  LeakyReLU+Hardswish acc= 86.36  ETA  79.9m
