architecture,act1,act2,n_seeds,acc_mean,acc_std,acc_ci95,acc_min,acc_max,f1_mean,f1_std,prec_mean,rec_mean,pr_gap,rank_global,rank_in_arch
BiGRU+BiGRU,PReLU,SiLU,5,87.502,0.261,0.324,87.21,87.83,87.446,0.564,87.91,87.16,0.75,96,48
BiGRU+GRU,Tanh,Hardswish,5,87.502,0.313,0.388,87.02,87.84,87.448,0.642,87.834,87.172,0.662,96,49
BiGRU+GRU,GELU,ELU,5,87.5,0.353,0.438,87.15,88.09,87.46,0.446,87.802,87.224,0.578,98,50
BiGRU+BiGRU,ELU,PReLU,5,87.498,0.337,0.418,87.1,87.89,87.44,0.675,87.844,87.144,0.7,99,49
BiGRU+BiGRU,Mish,PReLU,5,87.498,0.234,0.291,87.18,87.79,87.394,0.577,88.174,86.76,1.414,99,49
BiGRU+BiGRU,Tanh,Mish,5,87.494,0.3,0.372,87.04,87.87,87.602,0.46,86.846,88.42,1.574,101,51
BiGRU+BiGRU,ELU,LeakyReLU,5,87.494,0.318,0.395,87.17,87.96,87.422,0.541,87.948,86.988,0.96,101,51
BiGRU+BiGRU,ReLU,Mish,5,87.494,0.312,0.388,87.09,87.81,87.374,0.584,88.222,86.62,1.602,101,51
BiGRU+GRU,SELU,GELU,5,87.492,0.343,0.426,87.17,87.88,87.622,0.449,86.76,88.568,1.808,104,51
BiGRU+GRU,ReLU,ReLU,5,87.488,0.31,0.385,87.09,87.86,87.384,0.575,88.124,86.748,1.376,105,52
BiGRU+GRU,PReLU,SELU,5,87.482,0.425,0.528,86.83,88.01,87.41,0.731,87.89,87.016,0.874,106,53
BiGRU+BiGRU,LeakyReLU,Mish,5,87.48,0.298,0.37,87.05,87.78,87.48,0.483,87.506,87.54,0.034,107,54
BiGRU+BiGRU,Mish,SELU,5,87.48,0.334,0.415,87.1,87.88,87.678,0.312,86.348,89.092,2.744,107,54
BiGRU+GRU,ReLU,Hardswish,5,87.478,0.403,0.5,86.81,87.9,87.352,0.718,88.242,86.604,1.638,109,54
BiGRU+GRU,SELU,SELU,5,87.478,0.58,0.72,86.62,88.12,87.39,0.901,87.984,86.904,1.08,109,54
BiGRU+BiGRU,ReLU,LeakyReLU,5,87.474,0.478,0.593,86.79,88.11,87.306,0.786,88.468,86.256,2.212,111,56
BiGRU+GRU,LeakyReLU,Mish,5,87.474,0.192,0.238,87.14,87.62,87.484,0.424,87.442,87.604,0.162,111,56
BiGRU+GRU,Mish,Hardswish,5,87.472,0.419,0.521,87.0,87.95,87.572,0.663,86.876,88.372,1.496,113,57
BiGRU+BiGRU,SiLU,Tanh,5,87.472,0.36,0.447,86.93,87.79,87.326,0.817,88.362,86.5,1.862,113,57
BiGRU+BiGRU,ELU,Tanh,5,87.472,0.288,0.358,87.14,87.73,87.584,0.387,86.79,88.42,1.63,113,57
BiGRU+GRU,LeakyReLU,ELU,5,87.47,0.421,0.523,86.92,87.98,87.5,0.548,87.286,87.752,0.466,116,58
BiGRU+BiGRU,GELU,PReLU,5,87.47,0.274,0.34,87.01,87.7,87.42,0.593,87.806,87.168,0.638,116,59
BiGRU+BiGRU,SELU,Mish,5,87.464,0.136,0.169,87.24,87.59,87.424,0.474,87.732,87.232,0.5,118,60
BiGRU+BiGRU,PReLU,LeakyReLU,5,87.462,0.477,0.592,86.66,87.88,87.412,0.864,87.768,87.216,0.552,119,61
BiGRU+GRU,PReLU,Mish,5,87.462,0.114,0.142,87.29,87.56,87.364,0.247,88.082,86.708,1.374,119,59
BiGRU+GRU,SELU,Mish,5,87.462,0.309,0.384,87.08,87.89,87.528,0.583,87.06,88.088,1.028,119,59
BiGRU+GRU,ELU,ELU,5,87.46,0.474,0.589,86.66,87.93,87.34,0.712,88.152,86.6,1.552,122,61
BiGRU+GRU,LeakyReLU,PReLU,5,87.458,0.348,0.432,86.88,87.76,87.364,0.618,88.016,86.792,1.224,123,62
BiGRU+BiGRU,Hardswish,SELU,5,87.456,0.248,0.308,87.1,87.8,87.302,0.586,88.404,86.32,2.084,124,62
BiGRU+BiGRU,PReLU,SELU,5,87.452,0.244,0.303,87.17,87.69,87.568,0.456,86.766,88.468,1.702,125,63
BiGRU+GRU,Tanh,Mish,5,87.452,0.342,0.425,86.89,87.81,87.276,0.648,88.524,86.136,2.388,125,63
BiGRU+GRU,GELU,SELU,5,87.452,0.417,0.517,86.99,87.88,87.216,0.607,88.868,85.668,3.2,125,63
BiGRU+BiGRU,LeakyReLU,LeakyReLU,5,87.448,0.346,0.43,86.88,87.75,87.218,0.682,88.848,85.768,3.08,128,64
BiGRU+GRU,PReLU,Tanh,5,87.448,0.527,0.654,86.89,88.07,87.338,0.729,88.104,86.684,1.42,128,65
BiGRU+GRU,Mish,SELU,5,87.432,0.508,0.63,86.87,88.18,87.32,0.857,88.09,86.684,1.406,130,66
BiGRU+GRU,GELU,SiLU,5,87.432,0.154,0.191,87.25,87.6,87.524,0.204,86.944,88.188,1.244,130,66
BiGRU+BiGRU,Hardswish,ELU,5,87.43,0.345,0.429,86.86,87.77,87.392,0.83,87.668,87.324,0.344,132,65
BiGRU+BiGRU,ELU,Hardswish,5,87.428,0.276,0.343,87.18,87.86,87.488,0.49,87.102,87.98,0.878,133,66
BiGRU+GRU,ELU,Tanh,5,87.428,0.245,0.305,87.14,87.73,87.156,0.473,89.08,85.356,3.724,133,68
BiGRU+BiGRU,Mish,ReLU,5,87.426,0.348,0.432,87.04,87.95,87.42,0.555,87.518,87.472,0.046,135,67
BiGRU+BiGRU,PReLU,PReLU,5,87.424,0.39,0.484,86.82,87.85,87.218,0.809,88.662,85.976,2.686,136,68
BiGRU+GRU,Hardswish,PReLU,5,87.424,0.183,0.227,87.22,87.64,87.46,0.452,87.224,87.76,0.536,136,69
BiGRU+GRU,Hardswish,SiLU,5,87.422,0.46,0.571,86.82,87.9,87.166,0.784,88.942,85.548,3.394,138,70
BiGRU+BiGRU,SELU,PReLU,5,87.418,0.188,0.233,87.09,87.54,87.226,0.397,88.592,85.944,2.648,139,69
BiGRU+BiGRU,SiLU,ELU,5,87.418,0.41,0.509,86.85,87.89,87.54,0.408,86.706,88.408,1.702,139,69
BiGRU+GRU,Mish,ELU,5,87.418,0.269,0.334,87.05,87.67,87.486,0.462,87.004,88.016,1.012,139,71
BiGRU+GRU,Hardswish,SELU,5,87.416,0.377,0.468,86.76,87.72,87.278,0.753,88.242,86.472,1.77,142,72
BiGRU+BiGRU,Hardswish,PReLU,5,87.414,0.441,0.548,86.81,87.84,87.268,0.853,88.276,86.436,1.84,143,71
BiGRU+GRU,PReLU,LeakyReLU,5,87.408,0.437,0.542,86.66,87.69,87.164,0.65,88.88,85.56,3.32,144,73
BiGRU+BiGRU,SELU,Hardswish,5,87.406,0.594,0.737,86.38,87.86,87.324,1.101,87.846,87.016,0.83,145,72
BiGRU+BiGRU,SiLU,ReLU,5,87.406,0.355,0.441,86.88,87.75,87.186,0.612,88.736,85.772,2.964,145,72
BiGRU+BiGRU,PReLU,GELU,5,87.404,0.331,0.411,86.93,87.82,87.374,0.579,87.586,87.252,0.334,147,74
BiGRU+GRU,LeakyReLU,LeakyReLU,5,87.404,0.708,0.88,86.18,87.88,87.172,1.038,88.752,85.76,2.992,147,74
