architecture,act1,act2,single_seed_acc,multiseed_mean,delta,multiseed_std,ci95,acc_min,acc_max,within_ci,single_rank,multiseed_rank,rank_change,abs_delta,abs_rank_change
BiGRU+GRU,SELU,Hardswish,87.33,87.612,0.282,0.434,0.539,86.88,87.97,True,66,15,51,0.282,51
BiGRU+GRU,SiLU,SELU,86.92,87.606,0.686,0.268,0.333,87.3,87.91,False,91,16,75,0.686,75
BiGRU+GRU,ELU,Mish,87.29,87.602,0.312,0.163,0.202,87.37,87.77,False,70,17,53,0.312,53
BiGRU+GRU,ReLU,Tanh,87.43,87.602,0.172,0.237,0.294,87.31,87.88,True,55,17,38,0.172,38
BiGRU+GRU,LeakyReLU,SiLU,86.8,87.602,0.802,0.422,0.524,87.03,88.11,False,93,17,76,0.802,76
BiGRU+GRU,LeakyReLU,GELU,87.24,87.6,0.36,0.29,0.36,87.29,88.03,True,76,20,56,0.36,56
BiGRU+GRU,GELU,Tanh,87.13,87.598,0.468,0.282,0.35,87.26,88.01,False,82,21,61,0.468,61
BiGRU+GRU,SiLU,SiLU,87.65,87.598,-0.052,0.219,0.272,87.43,87.94,True,33,21,12,0.052,12
BiGRU+GRU,ELU,PReLU,88.02,87.594,-0.426,0.396,0.492,86.96,87.96,True,4,23,-19,0.426,19
BiGRU+GRU,PReLU,PReLU,87.52,87.592,0.072,0.406,0.504,87.09,88.22,True,47,24,23,0.072,23
BiGRU+GRU,Hardswish,LeakyReLU,86.96,87.59,0.63,0.251,0.312,87.3,87.83,False,89,25,64,0.63,64
BiGRU+GRU,SiLU,Hardswish,87.58,87.59,0.01,0.333,0.414,87.18,87.94,True,39,25,14,0.01,14
BiGRU+GRU,GELU,Hardswish,87.26,87.588,0.328,0.253,0.315,87.26,87.91,False,73,27,46,0.328,46
BiGRU+GRU,PReLU,Hardswish,86.4,87.58,1.18,0.338,0.419,87.07,87.95,False,98,28,70,1.18,70
BiGRU+GRU,Mish,Mish,87.79,87.576,-0.214,0.303,0.376,87.24,87.83,True,21,29,-8,0.214,8
BiGRU+GRU,Mish,PReLU,87.73,87.57,-0.16,0.2,0.249,87.34,87.82,True,26,30,-4,0.16,4
BiGRU+GRU,GELU,GELU,87.48,87.57,0.09,0.396,0.492,86.97,87.96,True,51,30,21,0.09,21
BiGRU+GRU,GELU,PReLU,87.8,87.566,-0.234,0.406,0.505,86.89,87.94,True,20,32,-12,0.234,12
BiGRU+GRU,LeakyReLU,ReLU,87.94,87.56,-0.38,0.254,0.316,87.3,87.89,False,11,33,-22,0.38,22
BiGRU+GRU,Mish,GELU,87.96,87.55,-0.41,0.215,0.267,87.25,87.76,False,9,34,-25,0.41,25
BiGRU+GRU,SELU,ELU,85.68,87.544,1.864,0.292,0.362,87.09,87.83,False,100,35,65,1.864,65
BiGRU+GRU,SiLU,PReLU,87.76,87.544,-0.216,0.503,0.624,87.03,88.05,True,22,35,-13,0.216,13
BiGRU+GRU,Hardswish,Tanh,85.82,87.534,1.714,0.272,0.338,87.06,87.74,False,99,37,62,1.714,62
BiGRU+GRU,PReLU,ELU,88.04,87.532,-0.508,0.188,0.234,87.25,87.75,False,2,38,-36,0.508,36
BiGRU+GRU,SELU,SiLU,87.24,87.53,0.29,0.316,0.392,86.97,87.71,True,76,39,37,0.29,37
BiGRU+GRU,Hardswish,Hardswish,87.53,87.528,-0.002,0.327,0.406,86.99,87.86,True,46,40,6,0.002,6
BiGRU+GRU,GELU,Mish,87.59,87.524,-0.066,0.27,0.335,87.26,87.89,True,38,41,-3,0.066,3
BiGRU+GRU,SiLU,LeakyReLU,87.49,87.52,0.03,0.175,0.217,87.24,87.72,True,50,42,8,0.03,8
BiGRU+GRU,Mish,SiLU,87.62,87.52,-0.1,0.286,0.355,87.27,87.92,True,36,42,-6,0.1,6
BiGRU+GRU,ELU,GELU,88.01,87.518,-0.492,0.492,0.611,86.64,87.76,True,5,44,-39,0.492,39
BiGRU+GRU,Mish,ReLU,87.56,87.514,-0.046,0.387,0.48,86.86,87.86,True,41,45,-4,0.046,4
BiGRU+GRU,ELU,Hardswish,87.71,87.51,-0.2,0.499,0.62,86.75,88.0,True,30,46,-16,0.2,16
BiGRU+GRU,LeakyReLU,Hardswish,87.88,87.506,-0.374,0.126,0.157,87.31,87.64,False,15,47,-32,0.374,32
BiGRU+GRU,SiLU,Tanh,87.76,87.506,-0.254,0.433,0.538,86.76,87.86,True,22,47,-25,0.254,25
BiGRU+GRU,Tanh,Hardswish,87.11,87.502,0.392,0.313,0.388,87.02,87.84,False,84,49,35,0.392,35
BiGRU+GRU,GELU,ELU,87.19,87.5,0.31,0.353,0.438,87.15,88.09,True,80,50,30,0.31,30
BiGRU+GRU,SELU,GELU,87.73,87.492,-0.238,0.343,0.426,87.17,87.88,True,26,51,-25,0.238,25
BiGRU+GRU,ReLU,ReLU,87.34,87.488,0.148,0.31,0.385,87.09,87.86,True,65,52,13,0.148,13
BiGRU+GRU,PReLU,SELU,87.25,87.482,0.232,0.425,0.528,86.83,88.01,True,74,53,21,0.232,21
BiGRU+GRU,ReLU,Hardswish,87.39,87.478,0.088,0.403,0.5,86.81,87.9,True,58,54,4,0.088,4
BiGRU+GRU,SELU,SELU,87.5,87.478,-0.022,0.58,0.72,86.62,88.12,True,49,54,-5,0.022,5
BiGRU+GRU,LeakyReLU,Mish,87.35,87.474,0.124,0.192,0.238,87.14,87.62,True,60,56,4,0.124,4
BiGRU+GRU,Mish,Hardswish,86.53,87.472,0.942,0.419,0.521,87.0,87.95,False,95,57,38,0.942,38
BiGRU+GRU,LeakyReLU,ELU,87.73,87.47,-0.26,0.421,0.523,86.92,87.98,True,26,58,-32,0.26,32
BiGRU+GRU,SELU,Mish,87.19,87.462,0.272,0.309,0.384,87.08,87.89,True,80,59,21,0.272,21
BiGRU+GRU,PReLU,Mish,86.99,87.462,0.472,0.114,0.142,87.29,87.56,False,88,59,29,0.472,29
BiGRU+GRU,ELU,ELU,87.35,87.46,0.11,0.474,0.589,86.66,87.93,True,60,61,-1,0.11,1
BiGRU+GRU,LeakyReLU,PReLU,87.52,87.458,-0.062,0.348,0.432,86.88,87.76,True,47,62,-15,0.062,15
BiGRU+GRU,GELU,SELU,87.76,87.452,-0.308,0.417,0.517,86.99,87.88,True,22,63,-41,0.308,41
BiGRU+GRU,Tanh,Mish,87.69,87.452,-0.238,0.342,0.425,86.89,87.81,True,31,63,-32,0.238,32
BiGRU+GRU,PReLU,Tanh,86.52,87.448,0.928,0.527,0.654,86.89,88.07,False,96,65,31,0.928,31
