Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiLSTM+BiLSTM
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiLSTM+BiLSTM_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
[seed 30]   7/100       ReLU+Mish      acc= 86.57  ETA  97.5m
[seed 20]   7/100       ReLU+Mish      acc= 85.95  ETA  99.0m
[seed 40]   7/100       ReLU+Mish      acc= 86.46  ETA 102.5m
[seed 10]   8/100       ReLU+SELU      acc= 87.08  ETA  93.3m
[seed 30]   8/100       ReLU+SELU      acc= 86.56  ETA  96.4m
[seed 50]   8/100       ReLU+SELU      acc= 86.79  ETA  96.4m
[seed 20]   8/100       ReLU+SELU      acc= 86.91  ETA 100.6m
[seed 40]   8/100       ReLU+SELU      acc= 86.62  ETA 102.2m
[seed 10]   9/100       ReLU+PReLU     acc= 85.53  ETA  92.6m
[seed 30]   9/100       ReLU+PReLU     acc= 86.89  ETA  95.3m
[seed 20]   9/100       ReLU+PReLU     acc= 86.38  ETA  96.4m
[seed 50]   9/100       ReLU+PReLU     acc= 86.70  ETA  96.6m
[seed 40]   9/100       ReLU+PReLU     acc= 86.92  ETA 101.7m
[seed 10]  10/100       ReLU+Hardswish acc= 87.20  ETA  92.9m
[seed 30]  10/100       ReLU+Hardswish acc= 87.00  ETA  94.2m
[seed 50]  10/100       ReLU+Hardswish acc= 86.83  ETA  94.2m
[seed 20]  10/100       ReLU+Hardswish acc= 87.53  ETA  95.1m
[seed 40]  10/100       ReLU+Hardswish acc= 87.12  ETA 101.0m
[seed 30]  11/100        ELU+ReLU      acc= 85.81  ETA  92.0m
[seed 10]  11/100        ELU+ReLU      acc= 87.13  ETA  93.0m
[seed 20]  11/100        ELU+ReLU      acc= 87.51  ETA  95.0m
[seed 50]  11/100        ELU+ReLU      acc= 86.81  ETA  95.2m
[seed 40]  11/100        ELU+ReLU      acc= 87.20  ETA  99.2m
[seed 10]  12/100        ELU+ELU       acc= 86.41  ETA  91.0m
[seed 30]  12/100        ELU+ELU       acc= 86.43  ETA  91.1m
[seed 20]  12/100        ELU+ELU       acc= 86.97  ETA  92.8m
[seed 50]  12/100        ELU+ELU       acc= 86.34  ETA  93.0m
[seed 10]  13/100        ELU+LeakyReLU acc= 85.65  ETA  89.2m
[seed 40]  12/100        ELU+ELU       acc= 87.36  ETA  98.5m
[seed 30]  13/100        ELU+LeakyReLU acc= 86.79  ETA  90.9m
[seed 20]  13/100        ELU+LeakyReLU acc= 86.76  ETA  91.6m
[seed 50]  13/100        ELU+LeakyReLU acc= 86.76  ETA  91.8m
[seed 10]  14/100        ELU+Tanh      acc= 86.53  ETA  88.2m
[seed 40]  13/100        ELU+LeakyReLU acc= 86.78  ETA  97.8m
[seed 30]  14/100        ELU+Tanh      acc= 86.31  ETA  89.9m
[seed 20]  14/100        ELU+Tanh      acc= 87.48  ETA  90.5m
[seed 50]  14/100        ELU+Tanh      acc= 86.30  ETA  90.7m
[seed 10]  15/100        ELU+GELU      acc= 85.75  ETA  85.8m
[seed 40]  14/100        ELU+Tanh      acc= 86.14  ETA  95.3m
[seed 30]  15/100        ELU+GELU      acc= 86.89  ETA  88.8m
[seed 50]  15/100        ELU+GELU      acc= 87.38  ETA  89.6m
[seed 20]  15/100        ELU+GELU      acc= 86.41  ETA  90.8m
[seed 10]  16/100        ELU+SiLU      acc= 86.17  ETA  84.3m
[seed 40]  15/100        ELU+GELU      acc= 87.16  ETA  94.5m
[seed 30]  16/100        ELU+SiLU      acc= 86.19  ETA  88.4m
[seed 50]  16/100        ELU+SiLU      acc= 86.74  ETA  89.1m
[seed 20]  16/100        ELU+SiLU      acc= 87.66  ETA  90.3m
[seed 10]  17/100        ELU+Mish      acc= 87.47  ETA  84.4m
[seed 40]  16/100        ELU+SiLU      acc= 86.34  ETA  92.3m
[seed 30]  17/100        ELU+Mish      acc= 86.66  ETA  87.5m
[seed 50]  17/100        ELU+Mish      acc= 86.91  ETA  88.1m
[seed 10]  18/100        ELU+SELU      acc= 87.09  ETA  83.4m
[seed 20]  17/100        ELU+Mish      acc= 87.06  ETA  90.5m
[seed 40]  17/100        ELU+Mish      acc= 86.20  ETA  91.8m
[seed 30]  18/100        ELU+SELU      acc= 86.61  ETA  86.4m
[seed 50]  18/100        ELU+SELU      acc= 87.07  ETA  86.4m
[seed 10]  19/100        ELU+PReLU     acc= 86.37  ETA  81.9m
[seed 40]  18/100        ELU+SELU      acc= 85.95  ETA  89.8m
[seed 20]  18/100        ELU+SELU      acc= 86.99  ETA  90.3m
[seed 30]  19/100        ELU+PReLU     acc= 86.50  ETA  85.3m
[seed 50]  19/100        ELU+PReLU     acc= 87.53  ETA  85.8m
[seed 10]  20/100        ELU+Hardswish acc= 87.11  ETA  81.6m
[seed 40]  19/100        ELU+PReLU     acc= 86.72  ETA  89.0m
[seed 30]  20/100        ELU+Hardswish acc= 86.87  ETA  84.2m
[seed 20]  19/100        ELU+PReLU     acc= 86.72  ETA  90.1m
[seed 50]  20/100        ELU+Hardswish acc= 87.38  ETA  84.7m
[seed 10]  21/100  LeakyReLU+ReLU      acc= 86.40  ETA  80.2m
[seed 40]  20/100        ELU+Hardswish acc= 86.11  ETA  88.2m
[seed 50]  21/100  LeakyReLU+ReLU      acc= 86.55  ETA  83.1m
[seed 30]  21/100  LeakyReLU+ReLU      acc= 87.71  ETA  83.1m
[seed 20]  20/100        ELU+Hardswish acc= 86.69  ETA  88.7m
[seed 10]  22/100  LeakyReLU+ELU       acc= 87.40  ETA  79.7m
[seed 30]  22/100  LeakyReLU+ELU       acc= 86.15  ETA  82.0m
[seed 40]  21/100  LeakyReLU+ReLU      acc= 86.41  ETA  87.4m
[seed 50]  22/100  LeakyReLU+ELU       acc= 86.45  ETA  82.5m
[seed 10]  23/100  LeakyReLU+LeakyReLU acc= 86.42  ETA  78.3m
[seed 20]  21/100  LeakyReLU+ReLU      acc= 87.63  ETA  88.3m
[seed 30]  23/100  LeakyReLU+LeakyReLU acc= 87.37  ETA  80.9m
[seed 40]  22/100  LeakyReLU+ELU       acc= 86.73  ETA  86.5m
[seed 50]  23/100  LeakyReLU+LeakyReLU acc= 86.69  ETA  81.8m
[seed 10]  24/100  LeakyReLU+Tanh      acc= 86.66  ETA  77.4m
[seed 20]  22/100  LeakyReLU+ELU       acc= 87.52  ETA  86.9m
[seed 30]  24/100  LeakyReLU+Tanh      acc= 86.90  ETA  80.3m
[seed 10]  25/100  LeakyReLU+GELU      acc= 87.05  ETA  76.0m
[seed 20]  23/100  LeakyReLU+LeakyReLU acc= 86.90  ETA  85.1m
[seed 50]  24/100  LeakyReLU+Tanh      acc= 86.97  ETA  80.7m
[seed 40]  23/100  LeakyReLU+LeakyReLU acc= 86.50  ETA  85.6m
[seed 10]  26/100  LeakyReLU+SiLU      acc= 86.23  ETA  74.7m
[seed 30]  25/100  LeakyReLU+GELU      acc= 86.46  ETA  79.2m
[seed 20]  24/100  LeakyReLU+Tanh      acc= 87.09  ETA  83.8m
[seed 50]  25/100  LeakyReLU+GELU      acc= 86.56  ETA  79.9m
[seed 40]  24/100  LeakyReLU+Tanh      acc= 86.47  ETA  84.6m
[seed 30]  26/100  LeakyReLU+SiLU      acc= 86.87  ETA  78.0m
[seed 10]  27/100  LeakyReLU+Mish      acc= 87.59  ETA  74.3m
[seed 20]  25/100  LeakyReLU+GELU      acc= 87.34  ETA  82.5m
[seed 50]  26/100  LeakyReLU+SiLU      acc= 85.79  ETA  78.4m
[seed 40]  25/100  LeakyReLU+GELU      acc= 86.51  ETA  82.9m
[seed 10]  28/100  LeakyReLU+SELU      acc= 85.38  ETA  73.0m
[seed 30]  27/100  LeakyReLU+Mish      acc= 87.00  ETA  77.1m
[seed 20]  26/100  LeakyReLU+SiLU      acc= 86.45  ETA  81.2m
[seed 50]  27/100  LeakyReLU+Mish      acc= 86.88  ETA  77.4m
[seed 40]  26/100  LeakyReLU+SiLU      acc= 87.47  ETA  81.9m
[seed 10]  29/100  LeakyReLU+PReLU     acc= 86.29  ETA  71.7m
[seed 30]  28/100  LeakyReLU+SELU      acc= 85.06  ETA  75.6m
[seed 50]  28/100  LeakyReLU+SELU      acc= 86.10  ETA  76.0m
[seed 20]  27/100  LeakyReLU+Mish      acc= 87.07  ETA  80.0m
[seed 40]  27/100  LeakyReLU+Mish      acc= 87.09  ETA  81.1m
[seed 10]  30/100  LeakyReLU+Hardswish acc= 87.26  ETA  70.8m
[seed 30]  29/100  LeakyReLU+PReLU     acc= 87.67  ETA  74.5m
[seed 20]  28/100  LeakyReLU+SELU      acc= 87.43  ETA  78.5m
[seed 50]  29/100  LeakyReLU+PReLU     acc= 86.23  ETA  74.9m
[seed 40]  28/100  LeakyReLU+SELU      acc= 86.36  ETA  80.2m
[seed 10]  31/100       Tanh+ReLU      acc= 86.16  ETA  69.5m
[seed 30]  30/100  LeakyReLU+Hardswish acc= 86.59  ETA  73.2m
[seed 50]  30/100  LeakyReLU+Hardswish acc= 85.76  ETA  74.1m
[seed 20]  29/100  LeakyReLU+PReLU     acc= 87.17  ETA  77.9m
