act1,act2,experiment,n_seeds,acc_mean,acc_std,acc_ci95,acc_min,acc_max,f1_mean,f1_std,prec_mean,rec_mean,single,delta,cell
ReLU,SiLU,BiGRU+GRU,5,87.304,0.549,0.682,86.33,87.61,87.198,0.93,87.902,86.62,87.82,-0.5159999999999911,ReLU+SiLU
Mish,LeakyReLU,BiGRU+GRU,5,87.29,0.546,0.678,86.4,87.76,87.234,0.899,87.562,87.012,87.64,-0.3499999999999943,Mish+LeakyReLU
LeakyReLU,SELU,BiGRU+GRU,5,87.28,0.457,0.567,86.93,88.08,87.206,0.603,87.756,86.76,88.0,-0.7199999999999989,LeakyReLU+SELU
Hardswish,ELU,BiGRU+GRU,5,87.28,0.392,0.487,86.63,87.62,87.114,0.77,88.266,86.136,87.12,0.1599999999999966,Hardswish+ELU
SELU,PReLU,BiGRU+GRU,5,87.252,0.319,0.396,86.89,87.61,87.03,0.716,88.594,85.676,87.65,-0.39800000000001035,SELU+PReLU
SiLU,ReLU,BiGRU+GRU,5,87.234,0.439,0.545,86.76,87.75,87.234,0.793,87.226,87.38,86.63,0.6039999999999992,SiLU+ReLU
ELU,ReLU,BiGRU+GRU,5,87.218,0.65,0.807,86.32,87.98,87.082,1.08,87.978,86.372,87.99,-0.7719999999999914,ELU+ReLU
ELU,LeakyReLU,BiGRU+GRU,5,87.21,0.51,0.633,86.55,87.75,87.026,0.838,88.262,85.92,87.92,-0.710000000000008,ELU+LeakyReLU
Tanh,SELU,BiGRU+GRU,5,87.206,0.246,0.306,86.86,87.49,87.274,0.415,86.874,87.8,86.49,0.7160000000000082,Tanh+SELU
ELU,SELU,BiGRU+GRU,5,87.2,0.34,0.422,86.7,87.6,87.052,0.768,88.068,86.216,87.96,-0.7599999999999909,ELU+SELU
ReLU,SELU,BiGRU+GRU,5,87.186,0.777,0.965,85.82,87.67,86.978,1.224,88.34,85.8,87.35,-0.16399999999998727,ReLU+SELU
Tanh,Tanh,BiGRU+GRU,5,87.15,0.272,0.337,86.91,87.53,87.084,0.612,87.55,86.756,87.21,-0.05999999999998806,Tanh+Tanh
SELU,LeakyReLU,BiGRU+GRU,5,87.124,0.329,0.408,86.73,87.5,87.014,0.348,87.91,86.316,87.58,-0.45600000000000307,SELU+LeakyReLU
Tanh,ReLU,BiGRU+GRU,5,87.116,0.509,0.632,86.25,87.53,87.08,0.966,87.33,87.052,86.89,0.2259999999999991,Tanh+ReLU
