Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiGRU+GRU
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiGRU+GRU_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
[seed 50]  42/100       GELU+ELU       acc= 87.15  ETA  44.0m
[seed 30]  40/100       Tanh+Hardswish acc= 87.02  ETA  47.9m
[seed 40]  41/100       GELU+ReLU      acc= 87.42  ETA  46.1m
[seed 20]  42/100       GELU+ELU       acc= 87.46  ETA  44.3m
[seed 10]  39/100       Tanh+PReLU     acc= 87.42  ETA  50.7m
[seed 50]  43/100       GELU+LeakyReLU acc= 87.66  ETA  43.2m
[seed 30]  41/100       GELU+ReLU      acc= 87.06  ETA  47.0m
[seed 40]  42/100       GELU+ELU       acc= 88.09  ETA  45.2m
[seed 20]  43/100       GELU+LeakyReLU acc= 87.12  ETA  43.5m
[seed 10]  40/100       Tanh+Hardswish acc= 87.52  ETA  49.9m
[seed 50]  44/100       GELU+Tanh      acc= 87.59  ETA  42.4m
[seed 30]  42/100       GELU+ELU       acc= 87.35  ETA  46.2m
[seed 40]  43/100       GELU+LeakyReLU acc= 87.73  ETA  44.4m
[seed 20]  44/100       GELU+Tanh      acc= 87.26  ETA  42.8m
[seed 50]  45/100       GELU+GELU      acc= 87.78  ETA  41.7m
[seed 10]  41/100       GELU+ReLU      acc= 87.44  ETA  49.2m
[seed 40]  44/100       GELU+Tanh      acc= 87.69  ETA  43.6m
[seed 30]  43/100       GELU+LeakyReLU acc= 87.91  ETA  45.5m
[seed 20]  45/100       GELU+GELU      acc= 87.76  ETA  42.0m
[seed 50]  46/100       GELU+SiLU      acc= 87.58  ETA  40.9m
[seed 40]  45/100       GELU+GELU      acc= 87.96  ETA  42.8m
[seed 10]  42/100       GELU+ELU       acc= 87.45  ETA  48.4m
[seed 20]  46/100       GELU+SiLU      acc= 87.60  ETA  41.2m
[seed 30]  44/100       GELU+Tanh      acc= 88.01  ETA  44.8m
[seed 50]  47/100       GELU+Mish      acc= 87.89  ETA  40.1m
[seed 40]  46/100       GELU+SiLU      acc= 87.33  ETA  42.0m
[seed 10]  43/100       GELU+LeakyReLU acc= 86.57  ETA  47.4m
[seed 20]  47/100       GELU+Mish      acc= 87.26  ETA  40.4m
[seed 30]  45/100       GELU+GELU      acc= 87.38  ETA  44.1m
[seed 50]  48/100       GELU+SELU      acc= 87.88  ETA  39.4m
[seed 40]  47/100       GELU+Mish      acc= 87.70  ETA  41.2m
[seed 20]  48/100       GELU+SELU      acc= 87.09  ETA  39.6m
[seed 10]  44/100       GELU+Tanh      acc= 87.44  ETA  46.6m
[seed 30]  46/100       GELU+SiLU      acc= 87.40  ETA  43.3m
[seed 50]  49/100       GELU+PReLU     acc= 87.81  ETA  38.6m
[seed 20]  49/100       GELU+PReLU     acc= 87.63  ETA  38.9m
[seed 40]  48/100       GELU+SELU      acc= 87.44  ETA  40.5m
[seed 10]  45/100       GELU+GELU      acc= 86.97  ETA  45.7m
[seed 30]  47/100       GELU+Mish      acc= 87.48  ETA  42.5m
[seed 50]  50/100       GELU+Hardswish acc= 87.73  ETA  37.8m
[seed 20]  50/100       GELU+Hardswish acc= 87.61  ETA  38.1m
[seed 40]  49/100       GELU+PReLU     acc= 87.56  ETA  39.7m
[seed 10]  46/100       GELU+SiLU      acc= 87.25  ETA  44.9m
[seed 30]  48/100       GELU+SELU      acc= 87.86  ETA  41.8m
[seed 50]  51/100       SiLU+ReLU      acc= 87.46  ETA  37.1m
[seed 20]  51/100       SiLU+ReLU      acc= 86.76  ETA  37.3m
[seed 40]  50/100       GELU+Hardswish acc= 87.91  ETA  38.9m
[seed 10]  47/100       GELU+Mish      acc= 87.29  ETA  44.0m
[seed 50]  52/100       SiLU+ELU       acc= 87.42  ETA  36.3m
[seed 30]  49/100       GELU+PReLU     acc= 87.94  ETA  41.0m
[seed 20]  52/100       SiLU+ELU       acc= 87.48  ETA  36.5m
[seed 40]  51/100       SiLU+ReLU      acc= 87.75  ETA  38.1m
[seed 10]  48/100       GELU+SELU      acc= 86.99  ETA  43.1m
[seed 50]  53/100       SiLU+LeakyReLU acc= 87.24  ETA  35.5m
[seed 30]  50/100       GELU+Hardswish acc= 87.43  ETA  40.2m
[seed 20]  53/100       SiLU+LeakyReLU acc= 87.72  ETA  35.8m
[seed 40]  52/100       SiLU+ELU       acc= 88.16  ETA  37.3m
[seed 10]  49/100       GELU+PReLU     acc= 86.89  ETA  42.2m
[seed 50]  54/100       SiLU+Tanh      acc= 87.53  ETA  34.8m
[seed 30]  51/100       SiLU+ReLU      acc= 86.79  ETA  39.3m
[seed 20]  54/100       SiLU+Tanh      acc= 87.71  ETA  35.0m
[seed 40]  53/100       SiLU+LeakyReLU acc= 87.58  ETA  36.4m
[seed 10]  50/100       GELU+Hardswish acc= 87.26  ETA  41.3m
[seed 50]  55/100       SiLU+GELU      acc= 87.86  ETA  34.0m
[seed 30]  52/100       SiLU+ELU       acc= 87.73  ETA  38.6m
[seed 20]  55/100       SiLU+GELU      acc= 87.56  ETA  34.2m
[seed 40]  54/100       SiLU+Tanh      acc= 87.67  ETA  35.7m
[seed 10]  51/100       SiLU+ReLU      acc= 87.41  ETA  40.5m
[seed 50]  56/100       SiLU+SiLU      acc= 87.69  ETA  33.3m
[seed 20]  56/100       SiLU+SiLU      acc= 87.50  ETA  33.5m
[seed 40]  55/100       SiLU+GELU      acc= 87.77  ETA  34.9m
[seed 30]  53/100       SiLU+LeakyReLU acc= 87.52  ETA  37.8m
