Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiGRU+BiGRU
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiGRU+BiGRU_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
[seed 20]   7/100       ReLU+Mish      acc= 87.40  ETA  77.0m
[seed 50]   7/100       ReLU+Mish      acc= 87.81  ETA  77.1m
[seed 30]   7/100       ReLU+Mish      acc= 87.81  ETA  77.1m
[seed 10]   8/100       ReLU+SELU      acc= 86.92  ETA  71.4m
[seed 40]   8/100       ReLU+SELU      acc= 87.68  ETA  73.1m
[seed 20]   8/100       ReLU+SELU      acc= 87.44  ETA  76.1m
[seed 50]   8/100       ReLU+SELU      acc= 87.57  ETA  76.2m
[seed 30]   8/100       ReLU+SELU      acc= 86.97  ETA  76.2m
[seed 10]   9/100       ReLU+PReLU     acc= 87.54  ETA  71.0m
[seed 40]   9/100       ReLU+PReLU     acc= 87.69  ETA  72.6m
[seed 20]   9/100       ReLU+PReLU     acc= 87.41  ETA  75.3m
[seed 50]   9/100       ReLU+PReLU     acc= 87.65  ETA  75.3m
[seed 30]   9/100       ReLU+PReLU     acc= 87.77  ETA  75.4m
[seed 10]  10/100       ReLU+Hardswish acc= 87.12  ETA  70.6m
[seed 40]  10/100       ReLU+Hardswish acc= 87.48  ETA  72.0m
[seed 20]  10/100       ReLU+Hardswish acc= 87.29  ETA  74.4m
[seed 50]  10/100       ReLU+Hardswish acc= 87.83  ETA  74.4m
[seed 30]  10/100       ReLU+Hardswish acc= 87.90  ETA  74.5m
[seed 10]  11/100        ELU+ReLU      acc= 87.30  ETA  70.1m
[seed 40]  11/100        ELU+ReLU      acc= 86.99  ETA  71.4m
[seed 20]  11/100        ELU+ReLU      acc= 87.32  ETA  73.5m
[seed 50]  11/100        ELU+ReLU      acc= 87.81  ETA  73.6m
[seed 30]  11/100        ELU+ReLU      acc= 87.41  ETA  73.6m
[seed 10]  12/100        ELU+ELU       acc= 87.36  ETA  68.6m
[seed 40]  12/100        ELU+ELU       acc= 87.72  ETA  71.8m
[seed 20]  12/100        ELU+ELU       acc= 87.73  ETA  72.7m
[seed 50]  12/100        ELU+ELU       acc= 87.55  ETA  72.7m
[seed 30]  12/100        ELU+ELU       acc= 87.56  ETA  72.8m
[seed 10]  13/100        ELU+LeakyReLU acc= 87.36  ETA  67.2m
[seed 40]  13/100        ELU+LeakyReLU acc= 87.17  ETA  71.0m
[seed 10]  14/100        ELU+Tanh      acc= 87.14  ETA  65.9m
[seed 20]  13/100        ELU+LeakyReLU acc= 87.67  ETA  71.8m
[seed 30]  13/100        ELU+LeakyReLU acc= 87.31  ETA  71.9m
[seed 50]  13/100        ELU+LeakyReLU acc= 87.96  ETA  72.8m
[seed 40]  14/100        ELU+Tanh      acc= 87.19  ETA  69.4m
[seed 10]  15/100        ELU+GELU      acc= 87.36  ETA  65.5m
[seed 20]  14/100        ELU+Tanh      acc= 87.57  ETA  71.0m
